대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
,,,,,,,,,,,,12,B,"응, 디플이랑 웨이브에서 볼 수 있어.",디플
,,,,,,,,,,,,13,A,주말에 나온 데까지 달리고 재밌으면 본방사수 해야겠다.,본방사수
,,,,,,,,,,,,14,B,ㅋㅋ 무조건 본방사수할 거 같은데.,본방사수
,,,,,,,,,,,,15,A,내 생각도 그래. 심심함 주말에 울집에 와. 같이 보자.,
,,,,,,,,,,,,16,B,나도 그러고 싶은데 쏴리. ㅠㅠ 셤 공부해야 해.,
273815,0048,여자,50,0131,남자,50,,,,콘텐츠 소비,이번 생도 잘 부탁해. 드라마 종영,1,A,너 이생잘 봤어? 레알 너무 잼나지?,레알
,,,,,,,,,,,,2,B,이생잘이 뭐야? 게임인 거야?,
,,,,,,,,,,,,3,A,"이번 생도 잘 부탁해라는 판타지, 로맨틱 코미디, 환생 드라마야.",
,,,,,,,,,,,,4,B,ㅎ ㅎ 못 봤어. 언제 방영한 거지?,
,,,,,,,,,,,,5,A,2023년 6월 17일부터 2023년 7월 23일까지 방영한 주말 드라마야.,
,,,,,,,,,,,,6,B,어디서 기획하고 방영한 드라마야?,
,,,,,,,,,,,,7,A,CJ ENM과 스튜디오드래곤이 기획하고 tvN에서 방영했지.,
,,,,,,,,,,,,8,B,그렇게 재밌어? 원작이 있는 거임?,
,,,,,,,,,,,,9,A,네이버 웹툰에 연재된 이혜 작가의 웹툰인 이번 생도 잘 부탁해가 원작이지.,
,,,,,,,,,,,,10,B,웹툰 원작이군. 그럼 드라마에 어떤 배우들이 나와?,
,,,,,,,,,,,,11,A,"신혜선, 안보현, 하윤경, 안동구 등 이 나와.",
,,,,,,,,,,,,12,B,그럼 이생잘 드라마 연출은 누가 했어?,
,,,,,,,,,,,,13,A,"쌈 마이웨이, 마인 등을 연출한 이나정이 했지.",
,,,,,,,,,,,,14,B,이욜~ 그 두 작품은 봤는데 딱 내 개취였어.,개취
,,,,,,,,,,,,15,A,신혜선과 안보현의 로맨스 연기가 갬성을 간질간질 ㅎ ㅎ ㅎ,갬성
,,,,,,,,,,,,16,B,오구오구~ 700~완전 푹 빠졌구만 ㅋ 나도 함 볼게~,오구오구;700
276145,0077,여자,20,0102,남자,20,,,,콘텐츠 소비,(Y) 숏박스 장기연애 시리즈,1,A,"아, 김원훈 결혼했대. 완전 배신이야.",
,,,,,,,,,,,,2,B,김원훈 그게 누구야? 연예인이야?,
,,,,,,,,,,,,3,A,"세상에, 김원훈을 몰라? 코미디언, 요즘 숏박스로 유명하잖아.",
,,,,,,,,,,,,4,B,숏박스? 그건 또 뭐야? 채널명이야?,
,,,,,,,,,,,,5,A,"너 MZ 아니지? 웅, 숏박스는 유튜브 채널명이야.",MZ
,,,,,,,,,,,,6,B,"아, 유튜브? 근데 장기연애는 또 뭐야?",
,,,,,,,,,,,,7,A,숏박스에서 드라마처럼 만든 건데 장기연애를 모티브로 코믹한 일상 드라마를 보여주는 거야.,
,,,,,,,,,,,,8,B,"헐, 그럼 진짜 장기연애하는 코미디언 커플이 나오는 거야?",
,,,,,,,,,,,,9,A,너 진짜 이런 대유잼 프로를 모르다니. 그냥 코미디언들이 연기하는 거야 .,대유잼
,,,,,,,,,,,,10,B,아 그래? 근데 그게 그렇게 재미있어?,
,,,,,,,,,,,,11,A,"응 완전, 김원훈이랑 엄지윤이랑 연기를 너무 잘해. 실제 같아.",
,,,,,,,,,,,,12,B,"아, 나 엄지윤 알아. 귀엽게 생긴 코미디언이잖아.",
,,,,,,,,,,,,13,A,"맞아, 연기도 잘하고 성격도 좋아서 김원훈이랑 잘 어울린다고 생각했었어.",
,,,,,,,,,,,,14,B,"아, 이제 너 반응이 이해간다. 근데 실제로 김원훈은 다른 사람이랑 결혼한 거고?",
,,,,,,,,,,,,15,A,"웅, 나는 그 사실을 이제 안 거고.",
,,,,,,,,,,,,16,B,아 그래서 그랬구나. 충격이었겠다.,
274446,0078,여자,40,0122,남자,40,,,,콘텐츠 소비,넷플릭스 국민사형투표,1,A,요즘 OTT 들에 볼 게 많아서 심심할 틈이 없다.,
,,,,,,,,,,,,2,B,"ㅋㅋ너도 그러냐. 지상파 드라마들은 좀 평범하달까? 뻔한데, OTT 드라마는 신박한 내용들이 많아서 더 재밌는 거 같아",신박하다
,,,,,,,,,,,,3,A,그러니깐 말이야. 난 넷플 자주 보는데 너는?,넷플
,,,,,,,,,,,,4,B,"난 디즈니 플러스를 보는데, 넷플릭스에 재밌는 게 많다고 해서 넘어갈까 생각 중이야. 거기 요금제는 얼마지?",
,,,,,,,,,,,,5,A,"응. 난 베이식 이용 중인데 월 9,500원임.",
,,,,,,,,,,,,6,B,"아하, 넷플 가게 되면 국민사형투표부터 볼까 하는데 너는 혹시 봤어?",
,,,,,,,,,,,,7,A,"그럼! 다른 사람들 생각은 어떨지 모르겠지만. 난 좀 속이 후련한 부분도 있고, 너무 재밌게 봤어.",
,,,,,,,,,,,,8,B,"근데, 그 드라마가 원래 넷플릭스에서 한 건 아니지?",
,,,,,,,,,,,,9,A,"맞아. SBS에서 한 건데, 넷플릭스나 다른 OTT에서 볼 수 있어.",
,,,,,,,,,,,,10,B,"아하, 언제부터 언제까지 했던 건지 알아?",
,,,,,,,,,,,,11,A,흠.. 올해 8월부터 11월까지 방영했던 거 같아.,
,,,,,,,,,,,,12,B,그렇군! 아참 기사에서 보니까 개탈의 정체? 이런 내용이 있던데 개탈이 뭐야?,
,,,,,,,,,,,,13,A,말 그대로 개의 탈을 쓴 사람임ㅋㅋ.,
,,,,,,,,,,,,14,B,ㅋㅋ아하. 중요한 인물인 건가?,
,,,,,,,,,,,,15,A,"그럼! 개탈이 악질범들을 대상으로 국민들이 사형투표를 진행하고, 투표 결과에 따라 사형을 집행하거든",
,,,,,,,,,,,,16,B,오.. 듣기만 했는데도 벌써 꿀잼임. 당장 가입해야겠다,꿀잼
,,,,,,,,,,,,17,A,응. 좋은 생각이야! 12부작밖에 안되니 금방 볼 거야. 얼른 가입하삼!,
,,,,,,,,,,,,18,B,오케이. 오늘 정주행하겠음. 좋은 정보 고마워!,정주행
290219,0060,여자,40,0122,남자,40,,,,콘텐츠 소비,뉴진스 신곡 발표 - ETA,1,A,뉴진스 새로 나온 '이티에이' 들어봤어? 진짜 좋더라.,
,,,,,,,,,,,,2,B,그게 이번에 나온 주요 곡인가?,
,,,,,,,,,,,,3,A,"아니, 주요 곡은 세 개야. '슈퍼샤이', '이티에이', '쿨 위드 유'가 주요 곡이지.",
,,,,,,,,,,,,4,B,"음, '뉴진스'는 주요곡이 아니었구나. 앨범에는 총 몇 곡이 들어가 있어?",
,,,,,,,,,,,,5,A,"모두 여섯 곡이야. 주요 곡 말고도 '뉴진스', '겟 업', '에이에스에이피'도 있어.",
,,,,,,,,,,,,6,B,'이티에이'가 주요 곡 중에 제일 먼저 나온 거야?,
,,,,,,,,,,,,7,A,공식적으로는 '슈퍼샤이'가 먼저 나왔어. 물론 '이티에이'는 콘서트에서 먼저 틀었긴 하지만.,
,,,,,,,,,,,,8,B,아.. 솔직히 내 스타일은 '이티에이'가 아니야. 넌 왜 그렇게 좋다고 생각해?,
,,,,,,,,,,,,9,A,난 이런 하드코어 테크노 스타일이 엄청 신나고 좋더라고.,
,,,,,,,,,,,,10,B,우리 취향이 정반대인가 봐. 그 곡은 누가 만든 건데?,
,,,,,,,,,,,,11,A,"250이 만들었고, 또 한 사람이 있는데 지금은 이름이 생각 안 나네. 어쨌든 그 사람은 트로트를 현대적으로 재해석하는 걸로 유명하지.",
,,,,,,,,,,,,12,B,뉴진스 음악에 트로트 느낌이 난다고는 생각 못 했네. 다양한 장르를 잘 다루는 사람인가 보다?,
,,,,,,,,,,,,13,A,"응, 트로트, 재즈, 신스팝, 저지클럽 등 여러 장르를 믹스하는 걸 잘 하지. 뉴진스랑 250 프로듀서가 참 잘 어울린다니까.",
,,,,,,,,,,,,14,B,뉴진스가 인기 많은 게 니 말이 맞는 것 같네.,
,,,,,,,,,,,,15,A,ㅋㅋ 너도 뉴진스 이번 '겟 업' 앨범 한번 들어보면 좋을 거야. 전 곡이 다 좋아서.,
,,,,,,,,,,,,16,B,"알겠어, 시간 될 때 유튜브에서 찾아볼게.",
275965,0024,여자,30,0116,남자,30,,,,콘텐츠 소비,콘크리트 유토피아 300만 돌파,1,A,이번에 개봉한 콘크리트 유토피아 봤어? 벌써 300만 돌파했대!,
,,,,,,,,,,,,2,B,난 아직 보진 않았는데 누가 나오는거였지?,
,,,,,,,,,,,,3,A,이병헌이랑 박서준이랑 박보영도 나오는 엄청 대작이라고!,
,,,,,,,,,,,,4,B,아 그렇구나. 요즘 너무 바빠서 문화생활을 못했네.ㅠ 무슨 내용인데?,
,,,,,,,,,,,,5,A,"재난 영환데, 대지진이 일어났는데 아파트 하나만 그대로 있고, 거기서 살라고 싸우고 하는 내용이야",
,,,,,,,,,,,,6,B,"아 잠깐, 지금 영화 스포하려는 거면 그만해 ㅋㅋ",스포
,,,,,,,,,,,,7,A,그래 이정도까지만 ㅋㅋ 웹툰 원작이기도 하고 스토리도 탄탄하다고,
,,,,,,,,,,,,8,B,무엇보다 이병헌이 믿보 배우잖아,믿보
,,,,,,,,,,,,9,A,아 말모. 이번에도 연기 완전 쩔어,말모;쩐다
,,,,,,,,,,,,10,B,대체 얼마만에 300만을 넘은거야?,
,,,,,,,,,,,,11,A,개봉 3주차에 접어든 개봉 16일째에 돌파하면서 꾸준히 상승했나봐,
,,,,,,,,,,,,12,B,그랬구나. 나도 이제 좀 여유를 찾고 좀 쉬면 좋겠다 ㅠ,
,,,,,,,,,,,,13,A,뭐가 그리 바쁜거야. 복세편살해 ㅋㅋ,복세편살
,,,,,,,,,,,,14,B,그러게 ㅋㅋ 나를 아무도 가만두지 않네 ㅋㅋ,
,,,,,,,,,,,,15,A,어디 분좋카가서 힐링도 좀 하고 바람도 쐬고 오자,
,,,,,,,,,,,,16,B,오 그거 아주 좋은 생각인데? 가즈아~,가즈아
273111,0056,여자,50,0136,남자,50,,,,콘텐츠 소비,콘크리트 유토피아 300만 돌파,1,A,콘크리트 유토피아 누적 관객 수가 얼마나 돼?,
,,,,,,,,,,,,2,B,384만명이나 본 거로 나오네.,
,,,,,,,,,,,,3,A,대박. 이병헌 연기 장난 아니던데?,대박
,,,,,,,,,,,,4,B,완전 망가져 나오는데 몰입감 끝내줌.,
,,,,,,,,,,,,5,A,배우로 또 누가 나왔지?,
,,,,,,,,,,,,6,B,"박서준, 박보영, 김선영, 엄태구 많지 .",
,,,,,,,,,,,,7,A,김선영 연기 너무 잘하는 것 같애.,
,,,,,,,,,,,,8,B,폼 미쳤음. 응팔에서도 잘했잖아.,폼미쳤다
,,,,,,,,,,,,9,A,관객 수 300만이 넘었으면 수상도 많이 했을 것 같은데?,
,,,,,,,,,,,,10,B,"44회 청용영화제에서 감독상, 남우주연상 받았잖아.",
,,,,,,,,,,,,11,A,그럼 이번에 작품상도 받았어?,
,,,,,,,,,,,,12,B,"59회 대종상 영화제에서 최우수 작품상, 남우주연상, 여우조연상 음향, 미술, 시각효과 많이 받았어.",
,,,,,,,,,,,,13,A,이번 대종상 여우조연상은 누가 받았어?,
,,,,,,,,,,,,14,B,김선영. 연기 장난아니잖아. 완전 쩔어~~,쩔어
,,,,,,,,,,,,15,A,역쉬~ 그런데 콘크리트 유토피아 좀 씁쓸했어.,
,,,,,,,,,,,,16,B,누가 아니래. 콘크리트 속에 숨겨진 차가운 우리들의 얼굴이지.,
,,,,,,,,,,,,17,A,다음에 우리 집에서 다시 같이 보자구. 안녕.,
,,,,,,,,,,,,18,B,오케이 언제든 연락하셈. 나는 시간 많음. 안녕.,
274426,0072,여자,30,0117,남자,30,,,,콘텐츠 소비,뜬뜬 DdeunDdeun - 핑계고 시리즈,1,A,야. 이번에 업뎃 한 핑계고 봤어?,업뎃
,,,,,,,,,,,,2,B,"아니, 나 과제 안 끝나서 아직 못 봄. 누구 나왔어?",
,,,,,,,,,,,,3,A,차승원 나왔는데 유재석이랑 완전 케미 부부였음.,케미 부부
,,,,,,,,,,,,4,B,둘이 무한도전 할 때 부터 친분 있더니 핑계고에서도 둘이 케미 좋았나보네.,케미
,,,,,,,,,,,,5,A,이번 편 대유잼이었어. 처음부터 끝까지 웃었다니까?,대유잼
,,,,,,,,,,,,6,B,난 핑계고가 다른 방송들이랑은 다르게 편하게 볼 수 있어서 좋더라고.,
,,,,,,,,,,,,7,A,맞아. 아! 너 핑계고 찍는 뜬뜬 회사가 어디 소속인지 알아?,
,,,,,,,,,,,,8,B,음.. 유재석이랑 관련 있는 데면 혹시 안테나 인가?,
,,,,,,,,,,,,9,A,올. 대박인데? 내 찐친은 역시 똑똑해! ㅋㅋ,대박;찐친
,,,,,,,,,,,,10,B,급발진 뭥미 ㅋㅋ 너는 왜 핑계고가 재미있어?,뭥미;급발진
,,,,,,,,,,,,11,A,"나는 다른 방송들처럼 많이 찍어서 편집하지 않고, 연예인들이 카메라 없는 것 처럼 솔직하게 방송하는게 좋더라고.",
,,,,,,,,,,,,12,B,아~ 가식 없이 편하게 방송하는 모습?,
,,,,,,,,,,,,13,A,어. 일반 방송은 개인적인 모습을 보기 보다는 만들어진 모습을 보게 되잖아.,
,,,,,,,,,,,,14,B,그렇지. 요즘 연예인들이 아무리 신비주의를 벗었다고 해도 방송용 이미지가 있으니까.,
,,,,,,,,,,,,15,A,유튭이 생기면서 다양한 방송들을 볼 수 있어서 완전 좋음.,
,,,,,,,,,,,,16,B,"차승원 말고 또 누가 나왔을 때, 시청률이 좋았어?",
,,,,,,,,,,,,17,A,"저번에 강하늘이랑 이동휘 나왔을 때, 그때 시청률 잘 나왔어.",
,,,,,,,,,,,,18,B,그래? 과제 끝나면 차승원편이랑 강하늘편 정주행 해야겠다.,정주행
290156,0054,여자,30,0113,남자,30,,,,콘텐츠 소비,경이로운 소문2,1,A,요즘 '경이로운 소문2' 방영한다며? 봤어?,
,,,,,,,,,,,,2,B,"응? 진짜야? 난 아직 안 봤는데, 언제 첫 방송했어?",
,,,,,,,,,,,,3,A,7월 29일에 TVN에서 방송 시작했어 ㅎㅎ.,
,,,,,,,,,,,,4,B,"아, 그래? 생방으로 봤어야 했는데 아쉽다... 넌 '경이로운 소문2' 봤어?",
,,,,,,,,,,,,5,A,"응, 엄청 재밌더라. 첫 시즌보다 연출이 더 좋아진 것 같아.",
,,,,,,,,,,,,6,B,"그렇구나. 강기영도 나온다고 했잖아, 어떤 역할로 나와?",
,,,,,,,,,,,,7,A,"오, '이상한 변호사 우영우'에 나왔던 그 배우 말이야? 이번엔 악귀로 출연하더라.",
,,,,,,,,,,,,8,B,"오, 생각지도 못한 역할이네 ㅎㅎ. '우영우'에서 엄청난 연기 보여줬는데, 악역도 잘할까?",
,,,,,,,,,,,,9,A,"응, 신뢰가는 배우 될 것 같아. 악귀 연기하니까 소름 쫙 돋았어.",
,,,,,,,,,,,,10,B,그렇구나. 혹시 TVN에서 몇 시에 방송하는지 알아?,
,,,,,,,,,,,,11,A,TVN에서는 밤 9시 20분에 방송해. 나는 시간 안 맞아서 티빙으로 봤어.,
,,,,,,,,,,,,12,B,"아, 티빙에서도 하나 보네. 나도 주말에 한번에 다 봐야겠다.",
,,,,,,,,,,,,13,A,응. 금방 시간 가니까. 줄거리 좀 풀어줄까?,
,,,,,,,,,,,,14,B,"에이, 스포일러는 사절이야 ㅎㅎ. 귀막고 있어야겠다.",
,,,,,,,,,,,,15,A,"알았어 ㅎㅎ. 스포 안 할게, 재밌게 봐.",
,,,,,,,,,,,,16,B,응! 전부 다 보고 나면 연락 줄게!,
276609,0089,여자,40,0128,남자,40,,,,콘텐츠 소비,트와이스 첫 유닛 '미사모' 7월 데뷔,1,A,야 7월에 미사모가 데뷔한다는 소식 들음?,
,,,,,,,,,,,,2,B,미사모가 뭔데? 혹 나처럼 미모가 사랑스러운 사람들의 모임이니?,
,,,,,,,,,,,,3,A,헐...자신감 대단해...미사모는 트와이스 유닛이야,
,,,,,,,,,,,,4,B,트와이스에 다른 유닛도 있었던거 같은데 맞지?,
,,,,,,,,,,,,5,A,아니 이번 미사모가 8년만에 첫 유닛 결성을 한거야 다른 멤버들은 그동안 솔로로 활동했던거고,
,,,,,,,,,,,,6,B,그래? 그럼 유닛 미사모는 어떤 멤버로 결성한거야?,
,,,,,,,,,,,,7,A,"미나, 사나, 모모로 일본인 멤버로만 결성된 유닛이야",
,,,,,,,,,,,,8,B,예쁜애 옆에 예쁜애자나...멤버들의 이름 첫글자로 그룹명을 정한거네?입에 촥촥 붙는다!! 전원 일본인 멤버라면 정식 데뷔는 어디서 하는건데?,예쁜애 옆에 예쁜애
,,,,,,,,,,,,9,A,7월 26일에 일본에서 정식 데뷔하는데 미니 1집을 발매하고 본격적인 활동을 이어갈거래,
,,,,,,,,,,,,10,B,일본 데뷔 앨범은 나온거야?,
,,,,,,,,,,,,11,A,당연하지 마스터피스랑 타이틀곡인 두낫 터치를 발매했어,
,,,,,,,,,,,,12,B,근데 세멤버 모두 메인 보컬은 아닌걸로 아는데 보컬 중심의 유닛은 아닌가봐...,
,,,,,,,,,,,,13,A,세 사람 모두 출중한 퍼포먼스로 많은 팬의 사랑을 받아왔기때문에 퍼포먼스 위주의 곡일듯 싶어,
,,,,,,,,,,,,14,B,발매된 앨범은 반응이 어땠는데?,
,,,,,,,,,,,,15,A,발매 첫 주 오리콘 주간 앨범 랭킹과 빌보드 재팬 주간 톱 앨범 세일즈 차트등 각종 앨범 차트 정상을 석권했어 너도 함 들어봐 팬아저될듯!,팬아저
,,,,,,,,,,,,16,B,역시 트와이스가 트와이스 한거네...나도 한번 들어봐야겠당,
290500,0060,여자,40,0127,남자,40,,,,콘텐츠 소비,악뮤 더시즌스 MC,1,A,악뮤가 더시즌스의 새로운 MC로 발탁됐어!,
,,,,,,,,,,,,2,B,더시즌스가 뭔데? 나는 처음 들어보는 이름인데.,
,,,,,,,,,,,,3,A,밤에 하는 실시간 음악 쇼야. 게스트들 모셔다가 음악 듣고 얘기 나누는 거지.,
,,,,,,,,,,,,4,B,"오, 최근에 생긴 프로그램인 거야?",
,,,,,,,,,,,,5,A,"아니야, 벌써 시즌3야. 시즌1은 박재범이 맡았고, 시즌2는 잔나비 최정훈이 해.",
,,,,,,,,,,,,6,B,"시즌제라니, 드라마도 아닌데 신기하네?",
,,,,,,,,,,,,7,A,"맞아, 매년 시즌제로 운영된대. 일년을 네 개의 시즌으로 나눠서 각각 다른 MC가 맡아.",
,,,,,,,,,,,,8,B,"와, 진짜 독창적이네. 근데 분위기는 어때? 첫 방송은 언제야?",
,,,,,,,,,,,,9,A,9월 1일에 '오날오밤'이라는 제목으로 악뮤가 시작해.,
,,,,,,,,,,,,10,B,그러고 보니 어느 채널에서 하는지 못 물어봤네. 어디서 볼 수 있어?,
,,,,,,,,,,,,11,A,KBS에서 금요일 밤 10시에 하니까 시간 맞으면 꼭 봐. 나도 정말 기대 중이야.,
,,,,,,,,,,,,12,B,악뮤가 음악 프로그램 진행해서 너무 좋아 보이네. ㅋㅋ,
,,,,,,,,,,,,13,A,당연하지! 악뮤는 재능이 풍부하잖아. 멋진 곡도 많고 귀여우면서도 말도 잘해. ㅎㅎ,
,,,,,,,,,,,,14,B,맞는 말이야. 가수 출신이니까 게스트들하고 음악적으로 깊은 얘기도 잘 나눌 수 있겠다.,
,,,,,,,,,,,,15,A,ㅎㅎ 너도 그렇게 생각하니? 우와~ 첫 방송에 어떤 게스트 올지 정말 기대돼.,
,,,,,,,,,,,,16,B,"음, 나는 악뮤가 노래하는 걸 더 듣고 싶어. 하지만 네가 좋아하는 가수가 하는 프로그램이니 잘 될 거라고 믿어. ㅎㅎ",
275551,0081,남자,30,0155,여자,30,,,,콘텐츠 소비,잔혹한 인턴,1,A,라미란 씨가 새로운 드라마에 출연한다는 소식 들었어?,
,,,,,,,,,,,,2,B,잔혹한 인턴? ㅇㅇ ㅋㅋ 스토리가 나름 재밌더라.,
,,,,,,,,,,,,3,A,이번에 몇 년만에 복귀하는거지?,
,,,,,,,,,,,,4,B,7년만에 컴백 ㅋㅋ 그것도 인턴으로 ㅋㅋ 재밌는 거 같아. 우리 엄마 생각나서 격공되는 부분도 많고,격공
,,,,,,,,,,,,5,A,맡은 역할이 인턴이야? 나 자세히는 못 봤어,
,,,,,,,,,,,,6,B,성공한 동기에게 은밀하고 잔혹한 제안을 받으면서 겪는 내면의 갈등을 그리는 내용이래,
,,,,,,,,,,,,7,A,와 설명만 들어도 벌써 흥미돋 ㅋㅋ 줄거리가 그게 다야?,흥미돋
,,,,,,,,,,,,8,B,"ㄴㄴ 7년 전에는 업계를 주름잡던 상품기획자였는데, 현실의 벽에 부딪혀 육아와 가사에만 매진해온 주부의 모습을 보여줄 거라고 해. 이런 배경이 고해라 캐릭터에 깊이를 더할 것 같아.",
,,,,,,,,,,,,9,A,나미란 배우가 맡은게 고해라 역이구나?,
,,,,,,,,,,,,10,B,ㅇㅇ ㅋㅋ 그걸 설명도 안 했네 ㅠㅠ 너무 즐거워서 쏘리.~,
,,,,,,,,,,,,11,A,아냐 괜찮아 ㅋㅋ 어디에서 하는거야?,
,,,,,,,,,,,,12,B,티빙에서 11일부터 시작한대 너도 본방사수 할거지?,
,,,,,,,,,,,,13,A,나는 회사일이 좀 바쁘긴 한데 ㅠㅠ,
,,,,,,,,,,,,14,B,너도 드라마 관심 엄청 많고 나미란 배우 좋아하잖아. 나랑 같이 본방사수 하자 ㅋㅋ,
,,,,,,,,,,,,15,A,"음, 그럼 내일 스벅 커피 네가 쏘는겨?",
,,,,,,,,,,,,16,B,ㅋㅋ 기분이다. 내일 내가 커피 쏨. 혼자 보면서 잼 없어서 오래 못 가. 같이 보자,
077312,0004,여자,30,0120,남자,30,,,,콘텐츠 소비,"맨시티 홀란드, 엄란드 엄지윤 만남",1,A,"이게 머선129, 엄란드 도플갱어를 만나 버렸네.",머선129
,,,,,,,,,,,,2,B,"도플갱어라니, 엄란드가 대체 누구길래 그래?",
,,,,,,,,,,,,3,A,"아, 엄지윤이라고 숏박스 장기연애에서 엄청 뜬 개그맨인데 알못?",알못
,,,,,,,,,,,,4,B,"RGRG, 개콘 출신 개그우먼~ 이 사람이 누구랑 도플갱어란 거?",RG
,,,,,,,,,,,,5,A,축구 팬들 사이에서는 맨시티 괴물 골잡이 엘링 홀란드를 닮은 얼굴 땜에 '엄란드'란 별명을 갖고 있거든.,
,,,,,,,,,,,,6,B,아하~ 근데 2명이 어디서 만난 거야?,
,,,,,,,,,,,,7,A,유튭 채널 '문명특급'에 '드디어 만난 홀란드와 엄란드'라는 제목의 숏츠 영상이 공개됐는데 투샷이 있더라구.,유튭
,,,,,,,,,,,,8,B,"헐, 깜짝 만남인 건가? 어떤 모습이 찍힌 거?",
,,,,,,,,,,,,9,A,맨체스터 시티 FC의 유니폼을 입은 엄지윤이 홀란드랑 환하게 웃으면서 쌍브이 포즈를 하고 있었음.,
,,,,,,,,,,,,10,B,엄지윤도 이런 반응을 호쾌하게 받아들이니까 보는 사람도 오나전 유쾌하네. 대체 어떻게 만나게 된 걸까?,오나전
,,,,,,,,,,,,11,A,"쿠팡플레이 친선 경기 전에 쿠팡플레이의 프리뷰 쇼를 가졌는데, 행사 진행을 한 엄지윤하고 만났대.",
,,,,,,,,,,,,12,B,"그렇구나, 그래도 이게 일케 이슈 될 정도면 홀란드도 울 나라에서 이미지가 짜짜 좋은가 봐?",짜짜
,,,,,,,,,,,,13,A,"엄지윤과의 인터뷰에서 화기애애했고, 경기에서도 마지막까지 남아 한국 팬들한테 서비스도 잘 했다는 미담이 많았음.",k팝;블핑
,,,,,,,,,,,,14,B,소속 팀 보면 실력은 말할 필요도 없겠지?,
,,,,,,,,,,,,15,A,"모든 공식전을 포함하면 53경기에서 52골을 넣었다는데, 그럼 경기당 1골 달성이거든. 그런 득점력으로 맨시티 창단 후 최연소로 전성기에 들었을 정도래.",
,,,,,,,,,,,,16,B,"더 애정이 가는 선수네. 문명특급은 언제 공개되지, 넘나 궁금하다.",넘나
290311,0031,여자,30,0117,남자,30,,,,콘텐츠 소비,"블랙핑크,9월 월드투어 앙코르 서울에서 예정",1,A,"야, 블랙핑크 세계 투어 다 끝난 거야?",
,,,,,,,,,,,,2,B,"해외 일정은 마무리됐고, 서울에서 16일하고 17일에 본 핑크 앙코르 공연 있을 거라고 하더라고.",
,,,,,,,,,,,,3,A,진짜? 근데 한국 콘서트는 원래 계획에 없었던 거 아니었어?,
,,,,,,,,,,,,4,B,"그랬었지. LA에서 마지막 공연 할 예정이었는데, 갑자기 한국에서 앙코르 공연 한다고 해서 놀랐어.ㅋㅋ",
,,,,,,,,,,,,5,A,국내 팬들 정말 좋아하겠다ㅋㅋ. 앙코르 콘서트에서 뭐 특별한 거 볼 수 있을까?,
,,,,,,,,,,,,6,B,이번 앙코르는 작년 서울 콘서트 때랑 전혀 다른 세트리스트에 무대 디자인으로 준비했다고 해. 코첼라에서 화제됐던 퍼포먼스도 섞어서 더 다채롭고 멋진 쇼를 만들었다네.ㅋㅋ,
,,,,,,,,,,,,7,A,직접 가지 못하는 사람들은 어떡하나ㅠㅠ. 혹시 온라인으로도 볼 수 있는 거야?,
,,,,,,,,,,,,8,B,응응! 위버스샵에서 티켓 살 수 있어. 8월 29일 오후 8시부터 판매 시작이야.,
,,,,,,,,,,,,9,A,그럼 콘서트 장소는 어디서 하나?,
,,,,,,,,,,,,10,B,아직 구체적인 장소는 안 알려줬어. 조만간 공개될 거야.,
,,,,,,,,,,,,11,A,알겠어. 그럼 티켓은 언제부터 구매 가능해?,
,,,,,,,,,,,,12,B,"선예매는 8월 29일 오후 8시에 인터파크에서 하고, 일반 예매는 9월 1일 오후 7시부터 시작해.",
,,,,,,,,,,,,13,A,시간 금방 가겠다ㅋㅋ. 생각지도 못한 한국에서의 앙코르 공연이라 기대되네.ㅋㅋ,
,,,,,,,,,,,,14,B,나도 기대 만땅이야. 이번 공연은 이번 투어의 마지막을 화려하게 장식할 거니까.ㅋㅋ,
,,,,,,,,,,,,15,A,우선 현장 티켓팅에 도전해본 다음에 안 되면 온라인 스트리밍으로 봐야겠다.ㅋㅋ,
,,,,,,,,,,,,16,B,나는 처음부터 온라인으로 편안하게 관람할 생각이야.ㅋㅋ,
275466,0078,여자,40,0130,남자,40,,,,콘텐츠 소비,푸바오,1,A,"얼마 전에 푸바오와 할부지라는 프로그램을 보고서, 나 엉엉 울었잖아.",
,,,,,,,,,,,,2,B,"오구오구~ 그랬어? 근데, 그건 무슨 프로그램이야?",오구오구
,,,,,,,,,,,,3,A,"푸바오랑 강철원 사육사와의 만남과, 이별을 준비하는 걸 관찰하는 프로그램인데 너무 찡하더라고",
,,,,,,,,,,,,4,B,듣기만 해도 벌써 슬프네. 어디에서 언제 방영한 거니?,
,,,,,,,,,,,,5,A,SBS에서 11월 23일부터 12월 14일까지 4부작으로 했었어.,
,,,,,,,,,,,,6,B,"그랬구나. SBS면 내가 좋아하는 동물농장을 하는 채널인데, 몰랐네. 몇 시쯤 했던 거야?",
,,,,,,,,,,,,7,A,매주 목요일 오후 9시에 했었음!,
,,,,,,,,,,,,8,B,"아, 요즘 평일에 야근이 잦아서 TV를 켤 시간이 없었거든. 다시 보기는 어디에서 할 수 있나?",
,,,,,,,,,,,,9,A,"SBS나, 웨이브에서 볼 수 있다더라고. 정말 강추야.",강추
,,,,,,,,,,,,10,B,ㅋㅋ 그래. 나도 영상으로 봐야겠다. 근데 중국으로는 언제 보낸데?,
